Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gemiddelde snelheid,Max. snelheid,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gemiddelde fietscadans,Max. fietscadans,Training Stress Score®,Grit,Flow,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Totaal herhalingen,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Wegwielrennen,2022-04-20 17:21:41,false,"Antwerpen Wegwielrennen","32.55","830","01:35:56","130","173","3.3","20.4","39.1","118","116","NaN","NaN","NaN","NaN","83","114","0.0","NaN","NaN","6004","NaN","NaN","NaN","16.0","Nee","00:02:09.8","5","21.0","26","11","40","01:18:00","01:35:56","-19","15"
Wegwielrennen,2022-03-20 09:18:31,false,"Antwerpen Wegwielrennen","71.28","1,413","03:16:57","124","153","2.8","21.7","32.8","146","141","NaN","NaN","NaN","NaN","73","108","0.0","NaN","NaN","12154","NaN","NaN","NaN","2.0","Nee","00:18:09","9","18.0","25","12","36","03:06:55","04:20:51","9","39"
Wegwielrennen,2022-03-19 11:04:33,false,"Antwerpen Wegwielrennen","49.17","1,012","02:16:51","123","154","2.4","21.6","40.4","200","176","NaN","NaN","NaN","NaN","76","139","0.0","NaN","NaN","9037","NaN","NaN","NaN","12.0","Nee","00:02:50.2","7","21.0","26","13","36","02:03:13","02:16:51","-21","228"
Wegwielrennen,2022-03-13 11:12:38,false,"Antwerpen Wegwielrennen","92.36","2,376","03:58:03","142","182","4.2","23.3","48.2","270","263","NaN","NaN","NaN","NaN","80","180","0.0","NaN","NaN","16720","NaN","NaN","NaN","13.0","Nee","00:15:24","12","23.0","29","13","40","03:40:23","05:43:45","-22","49"
Wegwielrennen,2022-03-11 15:18:13,false,"Antwerpen Wegwielrennen","58.41","1,337","02:36:11","134","185","3.2","22.4","49.7","190","196","NaN","NaN","NaN","NaN","82","136","0.0","NaN","NaN","11161","NaN","NaN","NaN","13.0","Nee","00:08:07.0","8","20.0","27","12","45","02:21:22","02:36:11","-27","11"
Wegwielrennen,2022-03-06 13:29:22,false,"Antwerpen Wegwielrennen","47.83","1,413","01:59:07","150","170","4.3","24.1","37.2","140","140","NaN","NaN","NaN","NaN","80","135","0.0","NaN","NaN","8242","NaN","NaN","NaN","5.0","Nee","00:16:40","6","10.0","32","14","42","01:50:14","01:59:07","4","25"
Wegwielrennen,2021-07-10 12:31:44,false,"Sint-Gillis-Waas Wegwielrennen","93.87","2,215","03:38:37","142","192","4.4","25.8","44.7","160","147","NaN","NaN","NaN","NaN","80","122","0.0","NaN","NaN","15659","NaN","NaN","NaN","15.0","Nee","00:12:48","12","26.0","29","12","44","03:30:08","04:56:01","3","39"
Wegwielrennen,2021-07-07 17:57:37,false,"Sint-Gillis-Waas Wegwielrennen","27.14","630","01:00:21","137","170","2.9","27.0","42.0","25","28","NaN","NaN","NaN","NaN","85","113","0.0","NaN","NaN","5018","NaN","NaN","NaN","20.0","Nee","00:08:05.0","4","26.0","28","15","38","00:59:48","01:00:33","-0","6"
Wegwielrennen,2021-06-16 19:40:03,false,"Sint-Gillis-Waas Wegwielrennen","63.54","1,533","02:35:52","137","194","3.2","24.5","45.4","123","123","NaN","NaN","NaN","NaN","77","134","0.0","NaN","NaN","10473","NaN","NaN","NaN","22.0","Nee","00:16:21","8","30.0","28","14","50","02:27:44","02:54:07","2","33"
Wegwielrennen,2021-06-11 13:53:16,false,"Sint-Gillis-Waas Wegwielrennen","15.04","501","00:28:56","167","188","3.7","31.2","40.2","25","20","NaN","NaN","NaN","NaN","87","113","0.0","NaN","NaN","2469","NaN","NaN","NaN","23.0","Nee","00:12:05","2","27.0","37","19","46","00:28:55","00:28:56","2","7"
Wegwielrennen,2021-06-07 19:06:54,false,"Sint-Gillis-Waas Wegwielrennen","65.00","2,022","03:17:21","136","196","4.1","19.8","55.1","89","96","NaN","NaN","NaN","NaN","82","116","0.0","NaN","NaN","11035","NaN","NaN","NaN","17.0","Nee","00:01:38.3","9","25.0","29","12","45","02:19:33","03:19:56","-4","10"
Wegwielrennen,2021-05-31 19:04:50,false,"Sint-Gillis-Waas Wegwielrennen","59.31","1,791","02:08:31","146","193","4.1","27.7","50.9","76","72","NaN","NaN","NaN","NaN","82","129","0.0","NaN","NaN","9757","NaN","NaN","NaN","19.0","Nee","00:06:05.5","8","24.0","30","12","44","02:03:34","02:08:31","3","14"
Wegwielrennen,2021-05-30 17:41:00,false,"Sint-Gillis-Waas Wegwielrennen","73.60","2,078","02:46:21","138","183","3.7","26.5","49.1","161","156","NaN","NaN","NaN","NaN","82","112","0.0","NaN","NaN","13287","NaN","NaN","NaN","19.0","Nee","00:03:28.3","10","25.0","28","17","42","02:45:32","02:47:02","3","39"
Wegwielrennen,2021-05-29 12:52:24,false,"Sint-Gillis-Waas Wegwielrennen","33.59","1,148","01:11:48","154","184","5.0","28.1","40.5","62","63","NaN","NaN","NaN","NaN","86","114","0.0","NaN","NaN","5949","NaN","NaN","NaN","19.0","Nee","00:02:31.5","5","24.0","32","12","43","01:11:22","01:11:48","0","10"
Wegwielrennen,2021-05-28 14:06:26,false,"Sint-Gillis-Waas Wegwielrennen","42.37","1,019","01:55:35","124","169","3.3","22.0","42.8","100","96","NaN","NaN","NaN","NaN","75","145","0.0","NaN","NaN","7718","NaN","NaN","NaN","18.0","Nee","00:06:20.8","6","26.0","24","13","35","01:52:24","01:55:35","4","39"
Wegwielrennen,2021-05-27 18:32:22,false,"Sint-Gillis-Waas Wegwielrennen","64.84","2,174","02:43:45","147","178","5.0","23.8","38.6","95","100","NaN","NaN","NaN","NaN","82","117","0.0","NaN","NaN","11242","NaN","NaN","NaN","8.0","Nee","00:01:42.8","9","18.0","30","12","42","02:25:29","03:25:52","-4","32"
Wegwielrennen,2021-05-26 15:30:13,false,"Sint-Gillis-Waas Wegwielrennen","24.25","791","00:59:58","146","180","4.3","24.3","40.8","50","54","NaN","NaN","NaN","NaN","81","117","0.0","NaN","NaN","4556","NaN","NaN","NaN","13.0","Nee","00:00:15.1","4","20.0","31","21","41","00:59:35","00:59:58","-3","8"
