Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gemiddelde snelheid,Max. snelheid,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Gemiddelde fietscadans,Max. fietscadans,Training Stress Score®,Grit,Flow,Totaal aantal slagen,Gemiddelde Swolf,Gem. slagsnelheid,Totaal herhalingen,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Gem ademh,Min ademh,Max ademh,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Wegwielrennen,2024-04-28 10:27:22,false,"Antwerpen Wegwielrennen","53.65","1,249","01:55:50","149","188","3.7","27.8","57.7","169","176","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","13.0","Nee","00:12:31","7","22.0","32","13","48","01:52:15","02:33:10","-168","19"
Wegwielrennen,2024-04-21 13:34:39,false,"Sint-Niklaas Wegwielrennen","19.65","551","00:47:07","150","173","3.3","25.0","37.6","36","38","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","10.0","Nee","00:11:14","3","25.0","32","15","40","00:44:58","00:54:27","-28","21"
Wegwielrennen,2024-04-21 10:07:14,false,"Antwerpen Wegwielrennen","20.17","498","00:46:59","138","165","2.6","25.8","84.4","35","41","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","6.0","Nee","00:09:17.1","3","18.0","30","14","39","00:43:25","00:58:26","-25","97"
Wegwielrennen,2024-04-14 12:11:50,false,"Gent Wegwielrennen","59.53","1,091","02:08:38","133","169","2.7","27.8","37.8","82","66","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","16.0","Nee","00:07:37.7","8","25.0","28","14","42","02:06:57","02:34:40","-4","32"
Wegwielrennen,2024-04-13 07:47:05,false,"Antwerpen Wegwielrennen","156.65","3,035","06:24:20","138","168","4.0","24.5","36.8","335","313","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","13.0","Nee","00:11:45","20","28.0","29","13","39","06:22:15","07:46:53","-26","42"
Wegwielrennen,2024-03-23 08:36:25,false,"Antwerpen Wegwielrennen","68.17","1,266","03:12:59","124","159","2.4","21.2","32.0","300","295","NaN","NaN","NaN","NaN","78","120","0.0","NaN","NaN","13851","NaN","NaN","NaN","3.0","Nee","00:10:54","9","16.0","24","14","37","03:10:00","03:32:11","-30","24"
Wegwielrennen,2024-03-16 10:26:42,false,"Bitsingen Wegwielrennen","71.84","1,634","03:19:10","136","191","3.4","21.6","61.1","631","666","NaN","NaN","NaN","NaN","69","121","0.0","NaN","NaN","8428","NaN","NaN","NaN","8.0","Nee","00:20:25","9","21.0","27","13","46","03:15:28","05:01:37","27","184"
Indoorcycling,2024-03-07 19:32:22,false,"Indoorcycling","0.00","626","00:44:06","162","187","4.2","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","23.0","Nee","00:44:06","1","31.0","--","--","--","00:00:00","00:44:06","--","--"
Wegwielrennen,2024-03-02 12:20:50,false,"Antwerpen Wegwielrennen","25.20","629","01:03:22","137","178","2.8","23.9","44.6","72","63","NaN","NaN","NaN","NaN","88","120","0.0","NaN","NaN","5225","NaN","NaN","NaN","11.0","Nee","00:02:06.6","4","20.0","29","15","42","00:58:26","01:17:00","-117","18"
Indoorcycling,2024-02-21 19:29:50,false,"Indoorcycling","0.00","499","00:45:57","142","173","3.1","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","27.0","Nee","00:45:57","1","31.0","--","--","--","00:00:00","00:49:14","--","--"
Indoorcycling,2024-02-19 19:39:12,false,"Indoorcycling","0.00","613","00:49:05","157","182","3.6","--","--","--","--","NaN","NaN","NaN","NaN","--","--","0.0","NaN","NaN","--","NaN","NaN","NaN","26.0","Nee","00:49:05","1","33.0","--","--","--","00:00:00","00:49:05","--","--"
Wegwielrennen,2024-02-03 10:07:06,false,"Antwerpen Wegwielrennen","30.85","695","01:11:31","138","164","2.8","25.9","37.5","76","76","NaN","NaN","NaN","NaN","88","117","0.0","NaN","NaN","5992","NaN","NaN","NaN","9.0","Nee","00:13:53","4","20.0","28","13","37","01:11:31","01:22:45","-21","132"
Wegwielrennen,2024-01-06 10:38:09,false,"Antwerpen Wegwielrennen","30.76","868","01:05:26","155","174","4.0","28.2","40.8","61","73","NaN","NaN","NaN","NaN","97","122","0.0","NaN","NaN","6213","NaN","NaN","NaN","4.0","Nee","00:14:08","4","19.0","32","18","39","01:05:20","01:16:05","-28","13"
Wegwielrennen,2023-10-28 09:38:38,false,"Antwerpen Wegwielrennen","40.47","987","01:38:39","141","175","3.2","24.6","35.5","105","106","NaN","NaN","NaN","NaN","81","132","0.0","NaN","NaN","7255","NaN","NaN","NaN","10.0","Nee","00:00:39.1","6","22.0","29","15","40","01:37:18","01:46:45","-147","17"
Wegwielrennen,2023-10-21 12:30:30,false,"Lanaken Wegwielrennen","66.05","1,538","02:51:56","139","186","3.4","23.0","60.4","610","614","NaN","NaN","NaN","NaN","74","225","0.0","NaN","NaN","10848","NaN","NaN","NaN","14.0","Nee","00:03:55.5","9","22.0","29","13","46","02:50:37","04:44:56","40","166"
Wegwielrennen,2023-09-15 08:26:33,false,"Antwerpen Wegwielrennen","180.52","3,957","08:38:47","134","177","4.2","20.9","58.5","1,663","1,326","NaN","NaN","NaN","NaN","74","119","0.0","NaN","NaN","34190","NaN","NaN","NaN","13.0","Nee","00:16:05","23","32.0","27","12","42","08:33:59","10:08:31","8","416"
Wegwielrennen,2023-09-09 08:52:40,false,"Antwerpen Wegwielrennen","123.60","2,402","04:33:14","142","177","4.1","27.1","40.0","242","225","NaN","NaN","NaN","NaN","89","117","0.0","NaN","NaN","23499","NaN","NaN","NaN","21.0","Nee","00:06:39.3","16","32.0","31","16","42","04:33:07","04:45:41","-1","44"
Wegwielrennen,2023-09-02 10:07:07,false,"Antwerpen Wegwielrennen","95.79","1,616","03:47:06","124","180","2.9","25.3","52.8","176","171","NaN","NaN","NaN","NaN","80","108","0.0","NaN","NaN","17051","NaN","NaN","NaN","19.0","Nee","00:16:51","12","29.0","27","12","38","03:45:37","04:20:25","-20","63"
Wegwielrennen,2023-08-26 09:08:41,false,"Antwerpen Wegwielrennen","93.19","2,324","03:23:00","155","193","5.0","27.5","45.6","208","207","NaN","NaN","NaN","NaN","82","125","0.0","NaN","NaN","15389","NaN","NaN","NaN","16.0","Nee","00:10:44","12","26.0","34","12","46","03:20:05","04:19:14","-20","13"
Wegwielrennen,2023-08-15 09:46:12,false,"Antwerpen Wegwielrennen","115.10","2,142","04:44:10","131","179","3.3","24.3","43.2","251","252","NaN","NaN","NaN","NaN","77","217","0.0","NaN","NaN","20100","NaN","NaN","NaN","22.0","Nee","00:06:34.3","15","33.0","27","13","41","04:42:25","06:34:02","-5","45"
Wegwielrennen,2023-08-14 14:36:41,false,"Leuven Wegwielrennen","78.89","1,669","03:04:24","141","186","3.9","25.7","60.0","764","780","NaN","NaN","NaN","NaN","76","123","0.0","NaN","NaN","12533","NaN","NaN","NaN","27.0","Nee","00:14:48","10","36.0","30","13","45","03:03:54","03:23:34","22","112"
