Activiteittype,Datum,Favoriet,Titel,Afstand,Calorieën,Tijd,Gem. HS,Max. HS,Aeroob TE,Gem. loopcadans,Max. loopcadans,Gemiddeld tempo,Beste tempo,Totale stijging,Totale daling,Gem. staplengte,Gemiddelde verticale ratio,Gem. verticale oscillatie,Gem. grondcontacttijd,Training Stress Score®,Grit,Flow,Gemiddelde Swolf,Gem. slagsnelheid,Totaal herhalingen,Min. temp.,Decompressie,Beste rondetijd,Aantal ronden,Max. temp.,Tijd bewogen,Verstreken tijd,Minimum hoogte,Maximum hoogte
Hardlopen,2023-12-06 14:40:44,false,"Antwerpen Hardlopen","4.47","346","00:30:53","140","157","2.3","164","171","6:54","6:27","13","15","0.88","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","17.0","Nee","00:03:05.8","5","23.0","00:30:49","00:32:02","-72","-62"
Hardlopen,2023-08-06 09:55:19,false,"Antwerpen Hardlopen","3.61","256","00:24:56","126","137","2.0","165","171","6:54","4:57","7","7","0.88","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","25.0","Nee","00:04:11.8","4","28.0","00:24:55","00:24:56","-166","-162"
Hardlopen,2023-06-18 09:30:00,false,"Antwerpen Hardlopen","3.30","239","00:15:57","157","186","3.2","168","173","4:50","4:05","17","6","1.23","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","26.0","Nee","00:01:13.5","4","29.0","00:15:49","00:15:57","22","27"
Hardlopen,2023-06-07 07:17:43,false,"Antwerpen Hardlopen","3.47","265","00:23:05","129","141","2.3","161","167","6:39","5:21","14","12","0.94","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","20.0","Nee","00:03:02.5","4","30.0","00:23:02","00:23:05","22","29"
Hardlopen,2023-05-02 12:30:13,false,"Antwerpen Hardlopen","6.01","488","00:35:37","159","179","3.4","164","170","5:55","4:50","14","238","1.03","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","25.0","Nee","00:00:08.8","7","31.0","00:35:35","00:35:37","-115","117"
Hardlopen,2023-04-24 23:15:29,false,"Antwerpen Hardlopen","3.58","310","00:24:12","145","165","2.8","162","171","6:46","5:05","10","9","0.91","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","22.0","Nee","00:03:08.3","4","29.0","00:24:12","00:24:12","115","122"
Hardlopen,2023-03-26 10:01:49,false,"Temse Hardlopen","6.72","612","01:14:59","128","157","2.6","71","249","11:10","2:42","47","46","1.27","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","12.0","Nee","00:08:06.0","7","23.0","00:56:00","01:27:19","-15","-8"
Hardlopen,2022-10-12 20:10:51,false,"Temse Hardlopen","6.47","812","01:49:30","124","156","2.5","44","239","16:55","2:58","44","51","1.37","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","18.0","Nee","00:07:23.6","7","24.0","00:53:15","01:49:30","77","86"
Hardlopen,2022-10-09 10:01:41,false,"Temse Hardlopen","5.58","871","01:23:45","145","178","3.4","50","248","15:00","3:06","77","53","1.32","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","22.0","Nee","00:09:00.0","6","32.0","00:47:03","01:23:45","82","89"
Hardlopen,2022-09-25 11:31:33,false,"Temse Hardlopen","6.92","828","01:27:38","137","170","3.1","56","239","12:40","2:15","56","56","1.41","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","23.0","Nee","00:09:42.9","7","31.0","00:56:58","01:35:03","47","57"
Hardlopen,2022-09-22 12:09:47,false,"Antwerpen Hardlopen","5.32","447","00:30:07","167","185","3.7","160","192","5:40","4:43","12","70","1.10","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","26.0","Nee","00:01:41.4","6","29.0","00:29:59","00:37:18","-15","23"
Hardlopen,2022-09-14 14:01:06,false,"Antwerpen Hardlopen","3.31","258","00:15:54","171","197","3.5","167","172","4:48","4:24","7","5","1.25","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","21.0","Nee","00:01:25.3","4","31.0","00:15:52","00:15:54","52","56"
Hardlopen,2022-09-13 07:27:13,false,"Antwerpen Hardlopen","3.49","269","00:19:38","151","187","3.0","163","170","5:37","4:24","7","6","1.09","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","25.0","Nee","00:02:13.9","4","31.0","00:19:37","00:19:38","22","27"
Hardlopen,2022-07-07 08:45:16,false,"Temse Hardlopen","5.09","693","01:06:40","141","166","2.7","59","234","13:06","2:33","33","37","1.29","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","25.0","Nee","00:02:35.9","6","31.0","00:44:35","01:06:40","63","68"
